Index,Último,,,,,,,,,,,,,,,
152,16.01,,,,,,,,,,,,,,,
153,16.34,,,,,,,,,,,,,,,
154,16.97,,,,,,,,,,,,,,,
155,16.99,,,,,,,,,,,,,,,
156,17.52,,,,,,,,,,,,,,,
157,17.58,,,,,,,,,,,,,,,
158,17.44,,,,,,,,,,,,,,,
159,17.31,,,,,,,,,,,,,,,
160,16.47,,,,,,,,,,,,,,,
161,16.64,,,,,,,,,,,,,,,
162,15.89,,,,,,,,,,,,,,,
163,15.86,,,,,,,,,,,,,,,
164,16.21,,,,,,,,,,,,,,,
165,15.94,,,,,,,,,,,,,,,
166,15.57,,,,,,,,,,,,,,,
167,15.31,,,,,,,,,,,,,,,
168,15.26,,,,,,,,,,,,,,,
169,15.47,,,,,,,,,,,,,,,
170,15.69,,,,,,,,,,,,,,,
171,15.08,,,,,,,,,,,,,,,
172,15.56,,,,,,,,,,,,,,,
173,16.19,,,,,,,,,,,,,,,
174,16.3,,,,,,,,,,,,,,,
175,16.28,,,,,,,,,,,,,,,
176,16.4,,,,,,,,,,,,,,,
177,15.88,,,,,,,,,,,,,,,
178,15.56,,,,,,,,,,,,,,,
179,15.71,,,,,,,,,,,,,,,
180,15.87,,,,,,,,,,,,,,,
181,16.07,,,,,,,,,,,,,,,
182,16.72,,,,,,,,,,,,,,,
183,16.54,,,,,,,,,,,,,,,
184,15.44,,,,,,,,,,,,,,,
185,12.12,,,,,,,,,,,,,,,
186,13.59,,,,,,,,,,,,,,,
187,13.79,,,,,,,,,,,,,,,
188,13.1,,,,,,,,,,,,,,,
189,12.57,,,,,,,,,,,,,,,
190,12.43,,,,,,,,,,,,,,,
191,12.43,,,,,,,,,,,,,,,
192,11.97,,,,,,,,,,,,,,,
193,12.55,,,,,,,,,,,,,,,
194,12.65,,,,,,,,,,,,,,,
195,11.92,,,,,,,,,,,,,,,
196,12.2,,,,,,,,,,,,,,,
197,12.62,,,,,,,,,,,,,,,
198,13.16,,,,,,,,,,,,,,,
199,13.09,,,,,,,,,,,,,,,
200,13.36,,,,,,,,,,,,,,,
201,13.15,,,,,,,,,,,,,,,
202,13.61,,,,,,,,,,,,,,,
203,13.13,,,,,,,,,,,,,,,
204,13.56,,,,,,,,,,,,,,,
205,13.29,,,,,,,,,,,,,,,
206,12.88,,,,,,,,,,,,,,,
207,12.89,,,,,,,,,,,,,,,
208,13.11,,,,,,,,,,,,,,,
209,13.26,,,,,,,,,,,,,,,
210,13.46,,,,,,,,,,,,,,,
211,13.46,,,,,,,,,,,,,,,
212,13.62,,,,,,,,,,,,,,,
213,13.5,,,,,,,,,,,,,,,
214,13.58,,,,,,,,,,,,,,,
215,13.57,,,,,,,,,,,,,,,
216,13.56,,,,,,,,,,,,,,,
217,13.39,,,,,,,,,,,,,,,
218,13.36,,,,,,,,,,,,,,,
219,13.5,,,,,,,,,,,,,,,
220,13.54,,,,,,,,,,,,,,,
221,13.76,,,,,,,,,,,,,,,
222,13.48,,,,,,,,,,,,,,,
223,13.4,,,,,,,,,,,,,,,
224,14.18,,,,,,,,,,,,,,,
225,13.91,,,,,,,,,,,,,,,
226,13.84,,,,,,,,,,,,,,,
227,13.83,,,,,,,,,,,,,,,
228,13.89,,,,,,,,,,,,,,,
229,13.49,,,,,,,,,,,,,,,
230,13.98,,,,,,,,,,,,,,,
231,13.79,,,,,,,,,,,,,,,
232,13.79,,,,,,,,,,,,,,,
233,13.68,,,,,,,,,,,,,,,
234,13.37,,,,,,,,,,,,,,,
235,13.91,,,,,,,,,,,,,,,
236,13.72,,,,,,,,,,,,,,,
237,14.24,,,,,,,,,,,,,,,
238,14.42,,,,,,,,,,,,,,,
239,14.69,,,,,,,,,,,,,,,
240,14.47,,,,,,,,,,,,,,,
241,14.59,,,,,,,,,,,,,,,
242,15.35,,,,,,,,,,,,,,,
243,15.57,,,,,,,,,,,,,,,
244,15.39,,,,,,,,,,,,,,,
245,15.27,,,,,,,,,,,,,,,
246,15.14,,,,,,,,,,,,,,,
247,15.15,,,,,,,,,,,,,,,
248,15.41,,,,,,,,,,,,,,,
249,15.09,,,,,,,,,,,,,,,
250,15.23,,,,,,,,,,,,,,,
251,15.13,,,,,,,,,,,,,,,
252,15.76,,,,,,,,,,,,,,,
253,15.69,,,,,,,,,,,,,,,
254,15.94,,,,,,,,,,,,,,,
255,16.38,,,,,,,,,,,,,,,
256,16.64,,,,,,,,,,,,,,,
257,16.52,,,,,,,,,,,,,,,
258,16.73,,,,,,,,,,,,,,,
259,16.73,,,,,,,,,,,,,,,
260,16.75,,,,,,,,,,,,,,,
261,16.68,,,,,,,,,,,,,,,
262,16.79,,,,,,,,,,,,,,,
263,16.95,,,,,,,,,,,,,,,
264,17.02,,,,,,,,,,,,,,,
265,16.43,,,,,,,,,,,,,,,
266,16.54,,,,,,,,,,,,,,,
267,16.9,,,,,,,,,,,,,,,
268,16.99,,,,,,,,,,,,,,,
269,17.11,,,,,,,,,,,,,,,
270,17.31,,,,,,,,,,,,,,,
271,16.99,,,,,,,,,,,,,,,
272,16.96,,,,,,,,,,,,,,,
273,17.04,,,,,,,,,,,,,,,
274,17.18,,,,,,,,,,,,,,,
275,16.97,,,,,,,,,,,,,,,
276,17.04,,,,,,,,,,,,,,,
277,16.85,,,,,,,,,,,,,,,
278,16.16,,,,,,,,,,,,,,,
279,16.38,,,,,,,,,,,,,,,
280,16.05,,,,,,,,,,,,,,,
281,16.19,,,,,,,,,,,,,,,
282,16.29,,,,,,,,,,,,,,,
283,16.16,,,,,,,,,,,,,,,
284,15.81,,,,,,,,,,,,,,,
285,15.58,,,,,,,,,,,,,,,
286,15.32,,,,,,,,,,,,,,,
287,15.53,,,,,,,,,,,,,,,
288,15.74,,,,,,,,,,,,,,,
289,15.71,,,,,,,,,,,,,,,
290,15.61,,,,,,,,,,,,,,,
291,16.04,,,,,,,,,,,,,,,
292,15.85,,,,,,,,,,,,,,,
293,16.18,,,,,,,,,,,,,,,
294,16.24,,,,,,,,,,,,,,,
295,15.71,,,,,,,,,,,,,,,
296,15.42,,,,,,,,,,,,,,,
297,15.68,,,,,,,,,,,,,,,
298,15.35,,,,,,,,,,,,,,,
299,16.55,,,,,,,,,,,,,,,
300,16.58,,,,,,,,,,,,,,,
301,16.46,,,,,,,,,,,,,,,
302,16.51,,,,,,,,,,,,,,,
303,16.74,,,,,,,,,,,,,,,
304,16.99,,,,,,,,,,,,,,,
305,17.14,,,,,,,,,,,,,,,
306,16.72,,,,,,,,,,,,,,,
307,16.72,,,,,,,,,,,,,,,
308,16.57,,,,,,,,,,,,,,,
309,16.48,,,,,,,,,,,,,,,
310,16.46,,,,,,,,,,,,,,,
311,16.72,,,,,,,,,,,,,,,
312,17.06,,,,,,,,,,,,,,,
313,17.16,,,,,,,,,,,,,,,
314,17.01,,,,,,,,,,,,,,,
315,17.63,,,,,,,,,,,,,,,
316,17.51,,,,,,,,,,,,,,,
317,16.82,,,,,,,,,,,,,,,
318,16.73,,,,,,,,,,,,,,,
319,16.46,,,,,,,,,,,,,,,
320,16.29,,,,,,,,,,,,,,,
321,16.37,,,,,,,,,,,,,,,
322,15.45,,,,,,,,,,,,,,,
323,15.78,,,,,,,,,,,,,,,
324,15.68,,,,,,,,,,,,,,,
325,16.23,,,,,,,,,,,,,,,
326,16.01,,,,,,,,,,,,,,,
327,16.29,,,,,,,,,,,,,,,
328,16.15,,,,,,,,,,,,,,,
329,15.42,,,,,,,,,,,,,,,
330,15.25,,,,,,,,,,,,,,,
331,15.6,,,,,,,,,,,,,,,
332,15.99,,,,,,,,,,,,,,,
333,16.61,,,,,,,,,,,,,,,
